LexToken(FUN,'fun',3,23)
LexToken(ID,'main',3,27)
LexToken(LPAREN,'(',3,31)
LexToken(RPAREN,')',3,32)
LexToken(LBRACE,'{',3,34)
LexToken(VAR,'var',5,99)
LexToken(ID,'x',5,103)
LexToken(ASSIGN,'=',5,105)
LexToken(NUMBER,10,5,107)
LexToken(DOT,'.',5,109)
LexToken(NUMBER,8,5,110)
LexToken(VAL,'val',6,116)
LexToken(ID,'y',6,120)
LexToken(ASSIGN,'=',6,122)
LexToken(NUMBER,20,6,124)
LexToken(VAR,'var',7,131)
LexToken(ID,'result',7,135)
LexToken(ASSIGN,'=',7,142)
LexToken(NUMBER,0,7,144)
LexToken(ID,'result',9,151)
LexToken(ASSIGN,'=',9,158)
LexToken(ID,'x',9,160)
LexToken(PLUS,'+',9,162)
LexToken(ID,'y',9,164)
LexToken(ID,'println',10,170)
LexToken(LPAREN,'(',10,177)
LexToken(ID,'result',10,178)
LexToken(RPAREN,')',10,184)
LexToken(ID,'result',12,191)
LexToken(ASSIGN,'=',12,198)
LexToken(ID,'x',12,200)
LexToken(MINUS,'-',12,202)
LexToken(ID,'y',12,204)
LexToken(ID,'println',13,210)
LexToken(LPAREN,'(',13,217)
LexToken(ID,'result',13,218)
LexToken(RPAREN,')',13,224)
LexToken(ID,'result',15,231)
LexToken(ASSIGN,'=',15,238)
LexToken(ID,'x',15,240)
LexToken(TIMES,'*',15,242)
LexToken(ID,'y',15,244)
LexToken(ID,'println',16,250)
LexToken(LPAREN,'(',16,257)
LexToken(ID,'result',16,258)
LexToken(RPAREN,')',16,264)
LexToken(ID,'result',18,271)
LexToken(ASSIGN,'=',18,278)
LexToken(ID,'y',18,280)
LexToken(DIVIDE,'/',18,282)
LexToken(ID,'x',18,284)
LexToken(ID,'println',19,290)
LexToken(LPAREN,'(',19,297)
LexToken(ID,'result',19,298)
LexToken(RPAREN,')',19,304)
LexToken(FOR,'for',22,328)
LexToken(LPAREN,'(',22,332)
LexToken(ID,'i',22,333)
LexToken(IN,'in',22,335)
LexToken(NUMBER,1,22,338)
LexToken(RANGE,'..',22,339)
LexToken(NUMBER,5,22,341)
LexToken(RPAREN,')',22,342)
LexToken(LBRACE,'{',22,344)
LexToken(ID,'println',23,354)
LexToken(LPAREN,'(',23,361)
LexToken(ID,'i',23,362)
LexToken(RPAREN,')',23,363)
LexToken(RBRACE,'}',24,369)
LexToken(RBRACE,'}',25,371)
