LexToken(FUN,'fun',3,23)
LexToken(ID,'main',3,27)
LexToken(LPAREN,'(',3,31)
LexToken(RPAREN,')',3,32)
LexToken(LBRACE,'{',3,34)
LexToken(VAR,'var',5,99)
LexToken(ID,'x',5,103)
LexToken(ASSIGN,'=',5,105)
LexToken(NUMBER,10,5,107)
LexToken(VAL,'val',6,114)
LexToken(ID,'y',6,118)
LexToken(ASSIGN,'=',6,120)
LexToken(NUMBER,20,6,122)
LexToken(VAR,'var',7,129)
LexToken(ID,'result',7,133)
LexToken(ASSIGN,'=',7,140)
LexToken(NUMBER,0,7,142)
LexToken(ID,'result',9,149)
LexToken(ASSIGN,'=',9,156)
LexToken(ID,'x',9,158)
LexToken(PLUS,'+',9,160)
LexToken(ID,'y',9,162)
LexToken(ID,'println',10,168)
LexToken(LPAREN,'(',10,175)
LexToken(ID,'result',10,176)
LexToken(RPAREN,')',10,182)
LexToken(ID,'result',12,189)
LexToken(ASSIGN,'=',12,196)
LexToken(ID,'x',12,198)
LexToken(MINUS,'-',12,200)
LexToken(ID,'y',12,202)
LexToken(ID,'println',13,208)
LexToken(LPAREN,'(',13,215)
LexToken(ID,'result',13,216)
LexToken(RPAREN,')',13,222)
LexToken(ID,'result',15,229)
LexToken(ASSIGN,'=',15,236)
LexToken(ID,'x',15,238)
LexToken(TIMES,'*',15,240)
LexToken(ID,'y',15,242)
LexToken(ID,'println',16,248)
LexToken(LPAREN,'(',16,255)
LexToken(ID,'result',16,256)
LexToken(RPAREN,')',16,262)
LexToken(ID,'result',18,269)
LexToken(ASSIGN,'=',18,276)
LexToken(ID,'y',18,278)
LexToken(DIVIDE,'/',18,280)
LexToken(ID,'x',18,282)
LexToken(ID,'println',19,288)
LexToken(LPAREN,'(',19,295)
LexToken(ID,'result',19,296)
LexToken(RPAREN,')',19,302)
LexToken(FOR,'for',22,326)
LexToken(LPAREN,'(',22,330)
LexToken(ID,'i',22,331)
LexToken(IN,'in',22,333)
LexToken(NUMBER,1,22,336)
LexToken(RANGE,'..',22,337)
LexToken(NUMBER,5,22,339)
LexToken(RPAREN,')',22,340)
LexToken(LBRACE,'{',22,342)
LexToken(ID,'println',23,352)
LexToken(LPAREN,'(',23,359)
LexToken(ID,'i',23,360)
LexToken(RPAREN,')',23,361)
LexToken(RBRACE,'}',24,367)
LexToken(RBRACE,'}',25,369)
